title,rate,author
作者:李碧华,9.1,霸王别姬
作者:MartinFowler,9.0,重构
出版社:吉林文史出版社,9.1,易经
作者:JonBentley,9.2,编程珠玑
作者:武玉成，顾丛龙注,9.3,宋词三百首
作者:宋韬,9.0,战国策
作者:RobertC.Martin,9.1,敏捷软件开发
作者:汤显祖,9.0,牡丹亭
作者:夏承焘/等,9.4,宋词鉴赏辞典
作者:[瑞典]阿斯特丽德·林格伦,9.0,长袜子皮皮
作者:陈鼓应,9.2,老子注译及评介
作者:彭一刚,9.1,中国古典园林分析
作者:芦原义信,9.0,外部空间设计
作者:老舍,9.0,四世同堂（上下）
作者:[英]莎士比亚,9.3,莎士比亚全集（全8册）
作者:[美]菲利普·津巴多/[美]罗伯特·约翰逊/[美]安·韦伯,9.3,津巴多普通心理学
作者:弗里曼,9.2,HeadFirst设计模式（中文版）
作者:金庸,9.1,天龙八部
作者:吴楚材/吴调侯,9.0,古文观止
作者:HaroldAbelson/GeraldJaySussman/JulieSussman,9.5,计算机程序的构造和解释
作者:[美]约翰.墨菲,9.1,期货市场技术分析
作者:本杰明·格雷厄姆/BenjaminGraham,9.0,聪明的投资者
作者:[美]彼得·考夫曼(编),9.0,穷查理宝典
作者:李娟,9.0,冬牧场
作者:[德]瓦尔特·莫尔斯,9.4,蓝熊船长的13条半命
作者:[英]吉米·哈利（JamesHerriot）,9.0,万物既伟大又渺小
作者:阿城,9.0,阿城精选集
作者:陈秋平/尚荣,9.1,金刚经心经坛经
作者:(美)保罗﹒萨缪尔森/（美）诺德豪斯,9.1,经济学
作者:泰戈尔,9.1,飞鸟集
作者:顾城,9.1,顾城的诗顾城的画
作者:[日]原研哉,9.0,设计中的设计|全本
作者:宗萨钦哲仁波切,9.0,佛教的见地与修道
作者:何兆武（口述）/文靖,9.0,上学记
作者:[德]叔本华,9.3,人生的智慧
作者:[俄]康·帕乌斯托夫斯基,9.0,金蔷薇
作者:志摩千岁,9.0,张国荣的时光
作者:汪曾祺,9.1,岁朝清供
作者:李允鉌,9.2,华夏意匠
作者:[英]吉米·哈利,9.1,万物刹那又永恒
作者:托尼•赖斯,9.0,发现之旅
出版社:中华书局,9.0,論語譯註
作者:梁漱溟,9.0,中国文化要义
作者:鲁迅,9.2,野草
作者:瞿同祖,9.2,中国法律与中国社会
作者:南怀瑾,8.9,庄子諵譁（上）
作者:王力主编,9.1,古代汉语（第一册）
作者:C.S.路易斯,9.1,返璞归真
作者:（英）西蒙・辛格,9.0,费马大定理
"作者:[美]加来道雄（Kaku,M）",9.0,超越时空
作者:[清]沈德潛,9.3,古詩源
作者:于娟,8.9,此生未完成
作者:[葡萄牙]费尔南多·佩索阿,9.0,惶然录
作者:蒋勋,9.0,蒋勋说红楼梦（第一辑）
作者:[美]罗伯特·所罗门,9.0,大问题
作者:[阿根廷]豪·路·博尔赫斯,9.2,阿莱夫
作者:[美]哈珀·李,9.1,杀死一只反舌鸟
作者:[美]罗伯特·麦基,9.2,故事
作者:[奥]维特根斯坦,9.1,逻辑哲学论
作者:[德]赫尔曼·黑塞,9.2,纳尔齐斯与歌尔德蒙
作者:(意)伊塔洛·卡尔维诺,9.1,新千年文学备忘录
作者:陈忠实,9.0,白鹿原
作者:[阿根廷]豪·路·博尔赫斯,9.4,博尔赫斯全集
作者:张爱玲,9.0,传奇(上下)
作者:[英]毛姆,9.0,人生的枷锁
作者:[美]法兰克·佛杜锡克著/吴程远译,9.0,神经外科的黑色喜剧
作者:叶广芩,9.0,采桑子
作者:钱钟书,9.0,围城
作者:钱钟书,9.0,写在人生边上写在人生边上的边上石语
作者:宗萨蒋扬钦哲仁波切,9.0,人间是剧场
作者:饶平如,9.0,平如美棠
作者:雨果,9.2,悲惨世界（上下）
作者:[德]马克斯·韦伯,9.2,学术与政治
作者:斯台芬·茨威格,8.9,心灵的焦灼
作者:钱穆,8.9,论语新解
作者:[阿根廷]豪·路·博尔赫斯,9.2,虚构集
作者:米切尔・恩德,9.0,毛毛
作者:何偉,9.2,甲骨文
作者:郑重/王要,9.1,大明宫词
作者:汉密尔顿/杰伊/麦迪逊,9.0,联邦党人文集
作者:王世襄,9.2,锦灰堆
作者:袁越,9.2,来自民间的叛逆
作者:[俄]亚历山大·索尔仁尼琴,9.2,古拉格群岛（上中下）
作者:任东来/陈伟/白雪峰,9.1,美国宪政历程
作者:(美)萨伯,9.1,洞穴奇案
作者:WILLARDPRICE,9.6,哈尔罗杰历险记(全套共14册)
作者:RandalE.Bryant/DavidO'Hallaron,9.5,深入理解计算机系统
作者:[英]贡布里希(SirE.H.Gombrich),9.4,艺术的故事
作者:[美]乔治.R.R.马丁,9.5,冰与火之歌（卷三）
作者:[英]A.S.Hornby原著/SallyWehmeier主编/MichaelAshby语音编辑,9.5,牛津高阶英汉双解词典（第六版）
作者:RichardP.Feynman/RobertB.Leighton/MatthewSands,9.5,费恩曼物理学讲义（第1卷）
